가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
커피스피릿,"카페,디저트",,,,창틈,https://m.place.naver.com/my/5f488f30a602e98f56aaaca0/review?v=2,145,,https://pup-review-phinf.pstatic.net/MjAyNDA2MDVfMTg4/MDAxNzE3NTg5ODM5OTYx.Yy75xLGFOnmdllNNDBKsyi3W2cUfidRkBWt5qfONrSUg.ghXWc06xvQux938jVCXKHzEiSoO3qnBBa_OdmV2W-hsg.JPEG/BAFF5363-8151-4198-8F0C-448B23AC3B74.jpeg?type=w1500_60_sharpen,"하늘색 포인트 인테리어가 너무 예뻤건 곳

사장님이 친절하시고 노래가 좋습니다
팝송을 적어서 드리면 틀어주는 곳이에용

달달한 크림라떼와 풍실풍실 티라미수
여유롭게 쉬다갈 수 있는 카페입니다",,2024년 6월 3일 월요일,1번째 방문,영수증
커피스피릿,"카페,디저트",,,,나는아직배가고프다,https://m.place.naver.com/my/5d81a1918f87a842bc04b884/review?v=2,35,,https://pup-review-phinf.pstatic.net/MjAyNDA3MDVfMTk1/MDAxNzIwMTc3Mzk1ODMw.e55qc-wRdGbxG8-GhBV86jI0baSnyVkffO_8Mg64fm4g.b99Qdgr44DgA0eLQaYDneFCIuObTkG3gfYFwwfL6u98g.JPEG/DA616F79-FD2C-4857-81E6-CBDE41EF4739.jpeg?type=w1500_60_sharpen,,,,,
오누이,"카페,디저트",4.63,,,맛맛,https://m.place.naver.com/my/5c223b0003f60d0de9657286/review?v=2,266,36,,오랜만에 그릭요거트 먹고싶어서 오누이왔어요 ㅎㅎ 매달 메뉴가 조금씩바껴서 좋더라고요💛 이번엔 복숭아그릭요거트로 먹었어요! 제철과일 그릭요거트를 먹을수있어서 넘좋아효 ㅎㅎㅎ매장에 물만 있으면 더좋을것같아요🥹,,2024년 7월 20일 토요일,2번째 방문,결제내역
프로젝트서울 과기대점,"카페,디저트",,,,tory33,https://m.place.naver.com/my/5b6851e3f2a62707eda6d3a8/review?v=2,12,,,학교 앞에 아기자기한 카페가 생겼길래 들렀는데 왠걸! 인생 도넛집을 찾았습니당🥹❤️ 진짜 크림 최고에효...... 2층에 앉을 공간두 마련되있어서 엄청 편하게 있다 갔습니당 :) 12시가 도넛 나오는 시간이라고 하니 꼭 맞춰서 get 하세용✨!!ㅎㅎ,,2024년 6월 24일 월요일,1번째 방문,영수증
커피스피릿,"카페,디저트",,,,창틈,https://m.place.naver.com/my/5f488f30a602e98f56aaaca0/review?v=2,145,,,"하늘색 포인트 인테리어가 너무 예뻤건 곳

사장님이 친절하시고 노래가 좋습니다
팝송을 적어서 드리면 틀어주는 곳이에용

달달한 크림라떼와 풍실풍실 티라미수
여유롭게 쉬다갈 수 있는 카페입니다",,2024년 6월 3일 월요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,맛맛,https://m.place.naver.com/my/5c223b0003f60d0de9657286/review?v=2,266,36,,"오누이 인스타보는데 오늘이 샌드에 딸기들어간 마지막날일것 같다고 올라와서 바로 와봤어요
옛날에 요거트 맛있게먹었던 기억이있는데 그릭요거트샌드도 생겼더라고요!
점심으로 먹을겸 그릭후르츠산도랑 오디복분자 그릭요거트 먹었어요🩷
살짝달달하면서 신맛도 별로안나는게 넘나맛있더라고요! 
앞으로도 종종와야겠어요🥹👍",,2024년 5월 25일 토요일,1번째 방문,결제내역
프로젝트서울 과기대점,"카페,디저트",,,,ju080824,https://m.place.naver.com/my/5c4fd4059483f0321673aa3a/review?v=2,81,,,골라먹는 재미와 맛있는 디져트에 입이 행복해서. 딸들 주려고 포장까지 해왔습니다.  자주 애용할께요 ,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 12일 수요일,1번째 방문,영수증
커피스피릿,"카페,디저트",,,,나는아직배가고프다,https://m.place.naver.com/my/5d81a1918f87a842bc04b884/review?v=2,35,,,"친구랑 방문했다가 좋았어서 또 왔어요~
어무니께서 티라미수 맛있다고 좋아해주셔서 기분이 짱 좋아요🥰
저는 바질 토마토 에이드가 맛있어서 또 왔습니다! 
짱짱 맛있어욤!",,2024년 7월 5일 금요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,nd****,https://m.place.naver.com/my/5d22d4da9f9d96457582e7c2/review?v=2,207,18,,공릉동에서 좋아하는 디저트카페 중 한곳! 혼자오기도 좋고 둘이 오기도 좋다! 산도도 깔끔하고 맛도리:),"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 13일 토요일,1번째 방문,영수증
프로젝트서울 과기대점,"카페,디저트",,,,sun****,https://m.place.naver.com/my/61e4338227c86181d1e66820/review?v=2,227,,,도넛이 달지 않고 맛있어요.,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 20일 토요일,1번째 방문,영수증
