Keyword,Frequency
커피,1628
너무,1316
맛있어요,1221
좋아요,1090
카페,627
사장,550
분위기,481
디저트,453
방문,424
라떼,386
맛있고,355
맛집,355
으로,298
진짜,289
케이크,288
ㅎㅎ,278
입니다,278
자주,270
좋고,257
정말,250
에서,246
음료,246
하고,242
좋은,240
먹어,225
소금,215
친절하시고,213
매장,212
공릉,202
같아요,201
이에요,197
인테리어,194
너무 맛있어요,192
해서,186
맛있는,179
쿠키,178
있어서,173
원두,170
추천,170
여기,163
메뉴,162
마들렌,159
맛있어서,158
최고,156
크림,154
이라,153
종류,153
많이,143
처음,139
크로,138
오늘,136
다음,135
맛있네요,135
낭시,134
하기,133
커피 맛있어요,132
요거트,131
주문,130
인데,129
했어요,129
커피 맛있고,125
항상,123
가격,122
기분,121
맛있었어요,121
했는데,121
있는,118
까지,115
버터,115
공릉동,113
다른,113
아메리카노,113
이랑,113
보다,111
친절하세요,111
마다,110
하는,110
자리,108
포장,108
좋았어요,107
먹고,105
커피 너무,105
직원,100
친구,100
커피 맛집,100
사람,99
선물,98
에요,98
맛있게,97
봤는데,96
좋네요,96
느낌,95
너무 좋아요,94
딸기,94
맛있습니다,94
사장 친절하시고,94
하나,94
스콘,93
엄청,93
동네,92
사장 너무,91
시간,89
에는,89
그릭,87
공간,85
케익,85
합니다,84
분위기 좋고,83
완전,83
ㅠㅠ,82
달달,82
과일,81
초코,81
친절해요,81
그리고,80
디카,80
예쁘고,80
이드,80
너무 너무,79
디카 페인,79
예요,79
좋습니다,79
최애,79
페인,79
도넛,78
오픈,77
있어요,77
보고,76
생각,76
특히,76
근처,75
사진,75
않고,75
가게,74
있고,73
분위기 좋아요,71
진짜 맛있어요,71
음악,70
커피 디저트,70
그릭 요거트,69
좋아서,68
같이,67
마카롱,67
구매,66
많아서,66
공부,65
치즈,65
굿굿,64
친절하고,64
얼그레이,63
분들,62
좋아하는,62
갑니다,61
분위기 너무,61
케잌,61
마일,60
에그타르트,60
조금,60
주말,60
블루,59
존맛,59
많고,58
모두,58
부터,58
오랜,58
왔어요,58
선택,57
오는,57
조아요,57
새로,56
에도,56
너무 맛있고,55
강아지,54
먹었는데,54
산미,54
스카치,54
우유,54
제일,54
샌드위치,53
역시,53
정말 맛있어요,53
직접,52
바로,51
베이글,51
부드럽고,51
아이,51
아이스크림,51
아주,51
맛있어용,50
ㅎㅎㅎ,49
레몬,49
맛있어,49
버터 스카치,49
폴로,49
너무 맛있어서,48
단골,48
무엇,48
하기 좋아요,48
하러,48
너무 친절하시고,47
서비스,47
정도,47
철길,47
ㅋㅋ,46
깔끔하고,46
리뷰,46
맛있다고,46
먹어 봤는데,46
먹었어요,46
왔는데,46
먹는,45
방문 했어요,45
블루 마일,45
취향,45
친절하셔서,45
하세요,45
다시,44
먹었습니다,44
밀크,44
종종,44
할인,44
가성,43
감성,43
있어,43
좋고 커피,43
좋았습니다,43
카페 입니다,43
니당,42
산책,42
아이스,42
자몽,42
좌석,42
카페 에요,42
혼자,42
무엇 보다,41
빵집,41
테이블,41
대화,40
산도,40
생겨서,40
시켜,40
없이,40
이네,40
이런,40
직원 분들,40
커피 정말,40
강추,39
공릉 카페,39
넓고,39
맛있는 커피,39
별로,39
우아즈,39
텀블러,39
테이크아웃,39
함께,39
많아요,38
맛집 이에요,38
방문 했는데,38
야외,38
이용,38
재료,38
생크림,37
예뻐요,37
해요,37
가는,36
너무 좋고,36
디저트 맛있어요,36
맛있고 디저트,36
맛있는데,36
먹으면,36
바닐라,36
사장 친절하세요,36
상큼,36
스벅,36
올게요,36
이나,36
저녁,36
좋은 카페,36
같은,35
근데,35
너무 맛있었어요,35
동반,35
디저트 너무,35
먹기,35
사장 너무 친절하시고,35
손님,35
없어서,35
진하고,35
그냥,34
깨끗하고,34
다양하고,34
맛집 입니다,34
번창,34
이고,34
좋아용,34
커피 너무 맛있어요,34
갔는데,33
기대,33
다양한,33
이쁘고,33
자주 방문,33
좋을,33
친절,33
카페 분위기,33
크림 라떼,33
하게,33
한번,33
개인,32
경춘선,32
공리,32
다양해서,32
드셔,32
마시고,32
배달,32
보세요,32
조합,32
지인,32
하기도,32
하면,32
한잔,32
했습니다,32
고소하고,31
노래,31
드립,31
말차,31
매일,31
먹으러,31
먹을,31
무화과,31
바질,31
보니,31
여서,31
요즘,31
좋게,31
창가,31
카라멜,31
케이크 너무,31
화장실,31
후르,31
가족,30
감사합니다,30
과자,30
구입,30
넘나,30
먹어 보고,30
바나나,30
여름,30
예쁜,30
우연히,30
추천 합니다,30
커피 진짜,30
토마토,30
힐링,30
가서,29
라서,29
바삭,29
브라우니,29
집중,29
친절하시고 커피,29
ㅜㅜ,28
가지,28
계속,28
내부,28
디저트 맛집,28
라떼 맛집,28
로스팅,28
아니라,28
였어요,28
와서,28
이번,28
일단,28
있습니다,28
있어서 좋아요,28
지나가다,28
카페 커피,28
크레이프,28
하기 좋은,28
화이트,28
그런지,27
날씨,27
너무 좋았어요,27
맛있게 먹었습니다,27
맛있음,27
발견,27
언제나,27
여러,27
오기,27
최애 카페,27
츄러스,27
커피 맛있고 디저트,27
가기,26
고민,26
공릉 철길,26
나온,26
데이트,26
맛있고 분위기,26
매번,26
봤어요,26
부드러운,26
살짝,26
않아서,26
오면,26
음료 맛있고,26
이렇게,26
있는데,26
진심,26
파크,26
해주셔서,26
고소한,25
그래서,25
기본,25
번창 하세요,25
싶은,25
아침,25
작업,25
좋아하는데,25
지만,25
카공,25
커피 너무 맛있고,25
푸딩,25
하는데,25
할게요,25
가끔,24
가면,24
나고,24
드셔 보세요,24
따뜻한,24
라고,24
마셔,24
맛있,24
뭔가,24
비스킷,24
생각 보다,24
생일,24
숲길,24
예뻐서,24
예약,24
오고,24
음료 맛있어요,24
이라고,24
친절하게,24
티라미수,24
가요,23
공릉 에서,23
그래도,23
되어,23
맛있었습니다,23
먹어도,23
약간,23
인테리어 너무,23
자두,23
자체,23
적당히,23
조각,23
좋아해서,23
커피 맛있어서,23
콜드,23
필터,23
가장,22
거리,22
경춘선 숲길,22
공리 단길,22
까페,22
단길,22
마음,22
메론,22
방문 할게요,22
방문 해서,22
분위기 좋고 커피,22
브루,22
싶어요,22
아늑하고,22
여긴,22
옥수수,22
잇어요,22
조용하고,22
주문 했는데,22
처음 먹어,22
판매,22
하니,22
하다가,22
기도,21
나오는,21
너무 너무 맛있어요,21
너무 예쁘고,21
되게,21
드디어,21
레인,21
레트로,21
맛있어요 ㅎㅎ,21
맛있어요 사장,21
맛있어요 커피,21
매우,21
무조건,21
바이,21
바이 레인,21
비주,21
식빵,21
아아,21
얼음,21
와플,21
이었어요,21
인생,21
인지,21
좋음,21
친절하시구,21
카페라떼,21
커피 좋아요,21
콜드 브루,21
트럴,21
트럴 파크,21
파운드,21
필터 커피,21
하면서,21
가득,20
갈게요,20
기분 좋게,20
께서,20
너무 맛있네요,20
너무 좋은,20
노트북,20
두번째,20
디저트 맛있고,20
라떼 맛있어요,20
레몬 마들렌,20
마셨는데,20
바닐라 라떼,20
바질 토마토,20
블루베리,20
스타벅스,20
애정,20
원두 선택,20
의사,20
있을,20
좋겠어요,20
주문 했어요,20
진짜 너무,20
커피집,20
쿠폰,20
타르트,20
특별한,20
폴로 커피,20
가능해서,19
같습니다,19
개인 으로,19
공릉역,19
공부 하기,19
너무 좋네요,19
너무 친절하셔서,19
다음 에는,19
다크,19
대화 하기,19
댕댕,19
들어가,19
디저트 종류,19
때문,19
맛있어요 분위기,19
반려견,19
방문 의사,19
버블티,19
분위기 너무 좋고,19
사러,19
설명,19
수다,19
식감,19
신선하고,19
아쉬워요,19
여기는,19
여유,19
있으면,19
재미,19
좋아요 커피,19
치즈케이크,19
친절한,19
크림 치즈,19
프레첼,19
하는 카페,19
해도,19
그런,18
나네요,18
나서,18
다음 방문,18
덕분,18
마시러,18
많은,18
맛있게 먹었어요,18
맛있고 사장,18
맛있다,18
맛있지만,18
반려동물,18
방문 하는,18
베이커리,18
보는,18
분위기 좋은,18
블랙,18
사장 께서,18
선물 으로,18
소금 샌드위치,18
싶네요,18
아늑한,18
음료 디저트,18
이벤트,18
이야기,18
인기,18
좋아,18
좋아하는 카페,18
주셔서,18
추가,18
커피 원두,18
커피 진짜 맛있어요,18
편하고,18
하네요,18
하다,18
후르 산도,18
간식,17
같아서,17
냄새,17
너무 맛있게,17
되는,17
두번째 방문,17
둘다,17
드세요,17
디카 페인 커피,17
딸기 라떼,17
맛있구,17
매력,17
베이,17
사용,17
새로운,17
슈페,17
스타일,17
싶어서,17
엄마,17
없는,17
없어요,17
에서 제일,17
여기 커피,17
예정,17
오래오래,17
올리브,17
으로도,17
이다,17
일찍,17
입니당,17
입맛,17
자주 오는,17
작은,17
저희,17
좋아여,17
친절하시고 분위기,17
콘센트,17
통밀,17
페인 커피,17
편하게,17
하시는,17
하지만,17
했네요,17
