가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
달리는커피 공릉숲길점,카페,,,,봉봉쓰28,https://m.place.naver.com/my/5e6c73f88f87a842bce05cad/review?v=2,2809,,,"새로생긴 후 들려야지했다가 오늘 들렸습니다 ㅎ
음료가 다 맛있네요^^
위치도 좋아서 철길 지날때 자주 올것같아요",,2024년 5월 18일 토요일,1번째 방문,결제내역
꽃피앙,"카페,디저트",,,,SukieDukie,https://m.place.naver.com/my/5f0580488f87a842bca47a29/review?v=2,28,,,"인테리어, 디저트, 음료 뭐 하나 빠지지 않는 이색 카페에요!!! 😍 개인적으로 개성주악이나 약과 같은 한과 종류를 매우 좋아하는데 화과자 맛집이 없어서 돌아다니던 와중에 럭키하게 발견한 새 카페에요 ㅎㅎ 화과자 하나하나 정성 가득이도 음료도 과일청 아끼지 않고 듬뿍 넣어주셔서 처음부터 끝까지 똑같은 맛으로 마실 수 있었어용☺️ 
데이트 장소로도 친목 장소로도 최적이라구 생각해요 얘기 편하게 나누면서 맛난 화과자 잘 먹구 갑니당💓💓",,2024년 7월 20일 토요일,1번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,아재입맛언니,https://m.place.naver.com/my/5d9831568f87a842bce5b06c/review?v=2,1577,99,,"✔️그릭요거트 꾸덕하고 위에 토핑과 잘 어울림
✔️꿀 아낌없이 듬뿍 들어감
✔️재료 신선함
✔️제주말차 요거트 아이스크림은 말차도 요거트도 둘다 먹고 싶을 때 이거 먹으면 됨
✔️그릭볼과 말차요거트 아이스크림 같이 먹으면 맛도리!
✔️매장 깔끔
✔️첫방문인데 사장님 너무 친절하셔서 기분 좋게 먹음
✔️맛과 서비스로 또 가고 싶은 곳!
✔️재방문각!",,2024년 7월 7일 일요일,1번째 방문,결제내역
달리는커피 공릉숲길점,카페,,,,yopp57,https://m.place.naver.com/my/5efec117493ad9a9a0ec2983/review?v=2,607,,,좋아요 좋아요 친절하세요,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 7월 19일 금요일,1번째 방문,결제내역
꽃피앙,"카페,디저트",,,,hhhh6053,https://m.place.naver.com/my/5e69c7db8f87a842bc085f26/review?v=2,14,,,"화과자 종류가 다양하고 다 예뻐서 고르기 힘들 정도였어요😭 말차소, 유자소, 백엉금소 등 다양하구요! 할미입맛 저격!!! 생각보다 덜 달고 식감도 너무 재밌어서 신기함 경험이었습니다! 재방문의사 200% 있구요!! 10구 포장도 되니까 나중에 교수님 드릴 선물 사러 또 와야겠어용‼️ 사장님도 너무 친절핫세요☺️
+내부 인테리어도 최고에요!! 데이트, 부모님 모시고 오기 좋은 곳이에요",,2024년 7월 14일 일요일,1번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,mingki2030,https://m.place.naver.com/my/5c6cb92efd06eba93c4cbd45/review?v=2,22,,,"산책하면서 지나가다 요거트전문점이있어서
방문하였는데 요거트아이스크림이 맛나고
과일도 신선해서 참 맛있네요
다음 산책하러 올때
그릭요거트와 아이스크림 맛보러 
또 올것같은 예감이 확실히드네요~♡
집에갈때는 샐러드와 함께먹으려고
 그릭요거트를 포장했어요
자주 오겠습니다~~
친절하신 사장님 번창하세요!!!",,2024년 6월 23일 일요일,1번째 방문,영수증
달리는커피 공릉숲길점,카페,,,,쿠D쿠,https://m.place.naver.com/my/5e4364cf8f87a842bc5c8a79/review?v=2,13,,,"사진은 깜박함 ㅎ;;

점심겸 간식으로 주문했는데 너무 맛있고 같이 먹은 사람들 평도 너무 좋아서 다시 시킬꺼같아요~

",,2024년 6월 19일 수요일,1번째 방문,영수증
꽃피앙,"카페,디저트",,,,616****,https://m.place.naver.com/my/600faf389168ed91b7746c0c/review?v=2,22,,,"선물용으로 구입하러갔는데
실물이 너무 예뻐서 놀랐습니다
가게 분위기도 너무 예뻐서 다음에는 매장에서 먹고가보려고요",,2024년 7월 19일 금요일,1번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,눈뉴징,https://m.place.naver.com/my/5e800ca18f87a842bc93cb54/review?v=2,51,,,아기랑 두번째 방문입니다. 구슬아이스크림 포슬포슬 맛있어요 블루베리 요거트위에 구슬아이스크림 뿌려 같이 먹으니 꿀조합이요...,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 24일 수요일,2번째 방문,영수증
달리는커피 공릉숲길점,카페,,,,모토14,https://m.place.naver.com/my/5f8db408c9d61226d0724730/review?v=2,14,,,"새로 생긴 집이라 다녀왔어요

양 많고 야채가 싱싱해서 맛있게 먹었네요

다만 샌드위치랑 샐러드 주문시 미리 전화를 해야겠어요

그리고 3월31일까지 아메리카노 1000원 이래요",,2024년 3월 18일 월요일,1번째 방문,결제내역
